Date,Country,City,Specie,count,min,max,median,variance,,,,,
########,IN,Kolkata,pm10,94,107,551,163,105854,,,,,
########,IN,Kolkata,pm10,96,46,430,102,39468.8,,,,,
########,IN,Kolkata,pm10,94,63,161,93,4536.66,,,,,
########,IN,Kolkata,pm10,80,44,138,66,4604.18,,,,,
########,IN,Kolkata,pm10,73,47,114,74,2443.24,,,,,
########,IN,Kolkata,pm10,96,86,489,150,61881.6,,,,,
########,IN,Kolkata,pm10,96,91,757,238,190744,,,,,
########,IN,Kolkata,pm10,96,74,171,103,3077.96,,,,,
########,IN,Kolkata,pm10,92,72,283,113,12036.4,,,,,
########,IN,Kolkata,pm10,94,44,172,79,8482,,,,,
########,IN,Kolkata,pm10,95,7,99,43,5143.23,,,,,
########,IN,Kolkata,pm10,86,58,183,106,7395.97,,,,,
########,IN,Kolkata,pm10,96,88,188,116,3604.59,,,,,
########,IN,Kolkata,pm10,93,61,196,107,6404.38,,,,,
########,IN,Kolkata,pm10,90,38,102,59,1451.29,,,,,
########,IN,Kolkata,pm10,70,48,92,71,1913.3,,,,,
########,IN,Kolkata,pm10,95,79,559,142,108208,,,,,
########,IN,Kolkata,pm10,96,132,654,342,184982,,,,,
########,IN,Kolkata,pm10,96,96,620,173,111030,,,,,
########,IN,Kolkata,pm10,95,23,135,85,4196.95,,,,,
########,IN,Kolkata,pm10,72,67,140,91,2742.82,,,,,
########,IN,Kolkata,pm10,95,43,137,81,5382.14,,,,,
########,IN,Kolkata,pm10,96,94,562,159,87780.1,,,,,
########,IN,Kolkata,pm10,91,115,773,172,212889,,,,,
########,IN,Kolkata,pm10,94,45,562,146,132327,,,,,
########,IN,Kolkata,pm10,96,73,316,102,14666.1,,,,,
########,IN,Kolkata,pm10,95,93,588,144,92080.8,,,,,
########,IN,Kolkata,pm10,94,79,434,174,81284.4,,,,,
########,IN,Kolkata,pm10,95,39,228,90,13894.8,,,,,
########,IN,Kolkata,pm10,92,67,148,91,4971.71,,,,,
########,IN,Kolkata,pm10,72,68,192,110,6847.69,,,,,
########,IN,Kolkata,pm10,70,44,122,72,5366.82,,,,,
########,IN,Kolkata,pm10,96,94,235,121,8451.79,,,,,
########,IN,Kolkata,pm10,96,88,774,152,84341.9,,,,,
########,IN,Kolkata,pm10,96,85,629,169,142439,,,,,
########,IN,Kolkata,pm10,96,77,439,125,48271.6,,,,,
########,IN,Kolkata,pm10,96,100,407,140,35068.5,,,,,
########,IN,Kolkata,pm10,96,84,999,110,183686,,,,,
########,IN,Kolkata,pm10,96,83,263,131,15028.4,,,,,
########,IN,Kolkata,pm10,96,42,151,74,4819.6,,,,,
########,IN,Kolkata,pm10,96,46,122,65,3559.1,,,,,
########,IN,Kolkata,pm10,95,91,534,148,94596.7,,,,,
########,IN,Kolkata,pm10,95,70,210,105,8030.57,,,,,
########,IN,Kolkata,pm10,96,71,444,127,37701.8,,,,,
########,IN,Kolkata,pm10,96,91,774,161,235701,,,,,
########,IN,Kolkata,pm10,96,108,999,186,230712,,,,,
########,IN,Kolkata,pm10,96,76,200,108,8027.15,,,,,
########,IN,Kolkata,pm10,72,59,417,109,29108.4,,,,,
########,IN,Kolkata,pm10,96,47,145,65,2623.93,,,,,
########,IN,Kolkata,pm10,72,57,174,101,8855.18,,,,,
########,IN,Kolkata,pm10,96,69,443,146,58086.5,,,,,
########,IN,Kolkata,pm10,96,97,769,169,191842,,,,,
########,IN,Kolkata,pm10,95,39,166,71,10751.8,,,,,
########,IN,Kolkata,pm10,96,48,135,84,4236.4,,,,,
########,IN,Kolkata,pm10,93,31,334,58,20902.5,,,,,
########,IN,Kolkata,pm10,96,65,184,99,6266.21,,,,,
########,IN,Kolkata,pm10,96,23,189,103,8658.28,,,,,
########,IN,Kolkata,pm10,95,45,132,78,3820.15,,,,,
########,IN,Kolkata,pm10,96,77,462,194,121567,,,,,
########,IN,Kolkata,pm10,95,129,984,237,205693,,,,,
