Date,Country,City,Specie,count,min,max,median,variance
02-01-2019,IN,Kolkata,pm25,120,160,360,213,22464
12-01-2019,IN,Kolkata,pm25,120,163,490,305,74820.4
01-02-2019,IN,Kolkata,pm25,120,161,354,208,16428.5
02-02-2019,IN,Kolkata,pm25,120,159,999,216,126588
21-02-2019,IN,Kolkata,pm25,120,117,381,188,17665.5
26-02-2019,IN,Kolkata,pm25,116,74,169,117,7865.75
08-03-2019,IN,Kolkata,pm25,110,93,209,163,4663.75
16-02-2019,IN,Kolkata,pm25,120,82,349,166,29724.2
13-03-2019,IN,Kolkata,pm25,118,82,194,153,8294.1
15-03-2019,IN,Kolkata,pm25,118,119,220,163,2049.7
08-01-2019,IN,Kolkata,pm25,120,151,438,190,47718.8
24-02-2019,IN,Kolkata,pm25,120,112,303,167,15665.4
26-03-2019,IN,Kolkata,pm25,96,85,217,157,5453.89
21-03-2019,IN,Kolkata,pm25,120,87,193,142,6112.73
01-01-2019,IN,Kolkata,pm25,120,158,436,235,42765.2
10-01-2019,IN,Kolkata,pm25,119,166,444,240,50666.7
22-01-2019,IN,Kolkata,pm25,115,183,531,344,62424.6
28-01-2019,IN,Kolkata,pm25,116,118,276,172,5193.3
05-02-2019,IN,Kolkata,pm25,120,162,373,200,30715
14-02-2019,IN,Kolkata,pm25,119,158,472,222,59110.2
27-02-2019,IN,Kolkata,pm25,120,25,152,74,5375.34
23-03-2019,IN,Kolkata,pm25,96,82,200,152,4789.47
18-03-2019,IN,Kolkata,pm25,117,65,176,119,7878.49
21-01-2019,IN,Kolkata,pm25,117,161,485,302,75245.7
10-02-2019,IN,Kolkata,pm25,96,102,176,138,3299.98
12-02-2019,IN,Kolkata,pm25,110,152,312,182,12023.1
22-02-2019,IN,Kolkata,pm25,120,97,233,162,3995.77
03-03-2019,IN,Kolkata,pm25,120,141,273,182,7442.26
06-03-2019,IN,Kolkata,pm25,119,54,206,159,5276.08
10-03-2019,IN,Kolkata,pm25,119,76,187,149,7144.92
20-03-2019,IN,Kolkata,pm25,120,71,193,153,5154.39
25-03-2019,IN,Kolkata,pm25,94,119,225,165,2778.25
07-02-2019,IN,Kolkata,pm25,117,169,361,233,24162.8
03-01-2019,IN,Kolkata,pm25,119,181,418,264,41457.8
04-01-2019,IN,Kolkata,pm25,119,174,522,273,90732
14-01-2019,IN,Kolkata,pm25,107,189,502,301,58875.8
18-01-2019,IN,Kolkata,pm25,117,180,586,243,53299.4
23-02-2019,IN,Kolkata,pm25,120,153,270,165,4809.51
19-03-2019,IN,Kolkata,pm25,120,82,176,151,5330.22
31-03-2019,IN,Kolkata,pm25,93,86,172,125,4574.64
29-01-2019,IN,Kolkata,pm25,120,134,255,163,5849.46
06-02-2019,IN,Kolkata,pm25,120,162,403,230,37500.3
19-02-2019,IN,Kolkata,pm25,120,152,322,186,19147.1
07-03-2019,IN,Kolkata,pm25,120,113,253,164,6355.83
09-02-2019,IN,Kolkata,pm25,117,153,259,174,2880.43
13-02-2019,IN,Kolkata,pm25,120,154,327,193,10810
15-02-2019,IN,Kolkata,pm25,119,75,497,231,50201.3
16-03-2019,IN,Kolkata,pm25,104,80,175,135,5405.65
08-02-2019,IN,Kolkata,pm25,120,160,294,189,11603.9
18-02-2019,IN,Kolkata,pm25,118,98,257,174,5372.4
02-03-2019,IN,Kolkata,pm25,118,6,239,162,11968.1
06-01-2019,IN,Kolkata,pm25,120,129,378,201,30649.9
31-01-2019,IN,Kolkata,pm25,119,157,393,194,31690
03-02-2019,IN,Kolkata,pm25,120,151,401,217,49194.6
04-02-2019,IN,Kolkata,pm25,118,100,361,210,27248.3
09-03-2019,IN,Kolkata,pm25,96,97,205,167,5118.73
30-03-2019,IN,Kolkata,pm25,116,76,187,143,10751.8
27-03-2019,IN,Kolkata,pm25,96,93,180,151,4506.73
09-01-2019,IN,Kolkata,pm25,119,158,379,230,30392.1
13-01-2019,IN,Kolkata,pm25,118,162,459,230,43354.6
15-01-2019,IN,Kolkata,pm25,120,51,448,252,63303
24-01-2019,IN,Kolkata,pm25,120,165,417,240,42994.6
28-02-2019,IN,Kolkata,pm25,119,9,184,90,16458.2
01-03-2019,IN,Kolkata,pm25,120,87,190,147,8405.2
14-03-2019,IN,Kolkata,pm25,119,63,197,168,1986.38
17-03-2019,IN,Kolkata,pm25,120,98,189,156,3781.88
05-01-2019,IN,Kolkata,pm25,120,153,460,271,80693.1
11-01-2019,IN,Kolkata,pm25,119,165,521,223,66850.1
17-01-2019,IN,Kolkata,pm25,82,160,498,239,50452.2
20-01-2019,IN,Kolkata,pm25,120,172,480,275,59766.2
11-02-2019,IN,Kolkata,pm25,94,83,232,169,5336.88
20-02-2019,IN,Kolkata,pm25,120,135,367,161,6162.21
25-02-2019,IN,Kolkata,pm25,117,92,204,156,6199.29
22-03-2019,IN,Kolkata,pm25,114,78,164,124,5539.75
29-03-2019,IN,Kolkata,pm25,97,88,179,120,5763.79
31-12-2018,IN,Kolkata,pm25,119,15,476,201,38032
16-01-2019,IN,Kolkata,pm25,104,157,455,190,37005.6
23-01-2019,IN,Kolkata,pm25,118,159,537,296,107597
27-01-2019,IN,Kolkata,pm25,120,155,265,177,2526.88
11-03-2019,IN,Kolkata,pm25,119,63,206,135,13998.4
24-03-2019,IN,Kolkata,pm25,96,72,211,159,8662.83
28-03-2019,IN,Kolkata,pm25,108,84,183,140,6105.61
07-01-2019,IN,Kolkata,pm25,118,105,465,208,49112.6
19-01-2019,IN,Kolkata,pm25,118,165,659,258,127228
25-01-2019,IN,Kolkata,pm25,119,159,340,194,24935.8
26-01-2019,IN,Kolkata,pm25,118,152,329,183,8331.19
17-02-2019,IN,Kolkata,pm25,120,129,249,163,3138.95
04-03-2019,IN,Kolkata,pm25,120,43,303,167,11371.9
12-03-2019,IN,Kolkata,pm25,117,134,196,163,1362.43
30-01-2019,IN,Kolkata,pm25,120,100,281,170,9267.98
05-03-2019,IN,Kolkata,pm25,120,54,197,142,14281.8
