Date,Country,City,Specie,count,min,max,median,variance,,,,,,,,
02-02-2019,IN,Kolkata,pressure,120,1012,1016,1014,13.89,,,,,,,,
23-01-2019,IN,Kolkata,pressure,120,1013,1017,1015,10.73,,,,,,,,
19-03-2019,IN,Kolkata,pressure,120,1007,1012,1009.5,21.43,,,,,,,,
20-03-2019,IN,Kolkata,pressure,120,1008,1012,1009,17.1,,,,,,,,
29-03-2019,IN,Kolkata,pressure,120,1006,1012,1008.5,28.59,,,,,,,,
25-03-2019,IN,Kolkata,pressure,96,1008,1012,1010,18.3,,,,,,,,
07-01-2019,IN,Kolkata,pressure,120,1012,1016.5,1013,17.64,,,,,,,,
22-01-2019,IN,Kolkata,pressure,120,1013,1018,1015,14.43,,,,,,,,
24-01-2019,IN,Kolkata,pressure,120,1014,1018,1015,12.92,,,,,,,,
28-01-2019,IN,Kolkata,pressure,120,1015,1019,1016,18.21,,,,,,,,
12-02-2019,IN,Kolkata,pressure,120,1017,1020,1018,12.52,,,,,,,,
08-03-2019,IN,Kolkata,pressure,120,1010,1015,1011.5,22.69,,,,,,,,
13-03-2019,IN,Kolkata,pressure,120,1010,1014,1012,16.9,,,,,,,,
10-02-2019,IN,Kolkata,pressure,120,1016,1020,1018,17.72,,,,,,,,
31-12-2018,IN,Kolkata,pressure,120,1016,1020,1017.5,12.66,,,,,,,,
06-01-2019,IN,Kolkata,pressure,120,1014,1018,1015,12.47,,,,,,,,
11-01-2019,IN,Kolkata,pressure,120,1014,1019,1015.5,20.22,,,,,,,,
16-01-2019,IN,Kolkata,pressure,120,1014,1019,1016,25.36,,,,,,,,
26-01-2019,IN,Kolkata,pressure,120,1014,1019,1016,14.06,,,,,,,,
29-01-2019,IN,Kolkata,pressure,120,1015,1018,1016,11.66,,,,,,,,
08-02-2019,IN,Kolkata,pressure,119,1012,1026.6,1014,40.72,,,,,,,,
01-03-2019,IN,Kolkata,pressure,120,1012,1017,1014,22.81,,,,,,,,
02-03-2019,IN,Kolkata,pressure,120,1012,1017,1013,24.8,,,,,,,,
12-03-2019,IN,Kolkata,pressure,120,1009,1015,1011.5,25.57,,,,,,,,
21-01-2019,IN,Kolkata,pressure,120,1013,1017.5,1015,14.46,,,,,,,,
30-01-2019,IN,Kolkata,pressure,120,1016,1021,1018,16.89,,,,,,,,
26-03-2019,IN,Kolkata,pressure,119,1009,1013.5,1011,16.27,,,,,,,,
13-01-2019,IN,Kolkata,pressure,120,1013,1019,1015,20.88,,,,,,,,
23-02-2019,IN,Kolkata,pressure,120,1007,1012,1009.5,17.73,,,,,,,,
04-03-2019,IN,Kolkata,pressure,120,1005,1011,1008,30.43,,,,,,,,
16-03-2019,IN,Kolkata,pressure,120,1011,1016.5,1012,30.95,,,,,,,,
