Date,Country,City,Specie,count,min,max,median,variance
31-12-2018,IN,Kolkata,co,96,2.2,36.5,7.7,774.62
01-01-2019,IN,Kolkata,co,96,2.2,32.8,8.2,668.59
02-01-2019,IN,Kolkata,co,95,0.1,30.9,7.8,603.5
03-01-2019,IN,Kolkata,co,96,1.8,51.3,11,1287.58
04-01-2019,IN,Kolkata,co,96,1.4,46.8,8.1,1149.47
05-01-2019,IN,Kolkata,co,96,2.2,41.7,9.8,1054.42
06-01-2019,IN,Kolkata,co,96,2.2,44,6.3,792.02
07-01-2019,IN,Kolkata,co,96,0.2,45.2,5.7,1306.28
08-01-2019,IN,Kolkata,co,95,0.7,46,5.9,1115.64
09-01-2019,IN,Kolkata,co,95,0.2,48.3,6.8,1137.41
10-01-2019,IN,Kolkata,co,96,2.2,41.4,8.6,1129.96
11-01-2019,IN,Kolkata,co,96,1.6,58.7,9.2,1823.2
12-01-2019,IN,Kolkata,co,96,2,55.9,8.4,1499.78
13-01-2019,IN,Kolkata,co,96,0.3,53.3,5.9,1353.6
14-01-2019,IN,Kolkata,co,95,1.8,59.9,12.1,1996.84
15-01-2019,IN,Kolkata,co,89,1.2,48.6,8.5,1071.74
16-01-2019,IN,Kolkata,co,82,1.3,86.1,8.1,1738.99
17-01-2019,IN,Kolkata,co,96,1.2,53.7,10,1359.18
18-01-2019,IN,Kolkata,co,96,1.4,72.1,10.2,2242.65
19-01-2019,IN,Kolkata,co,96,0.5,65.7,11.6,2230.66
20-01-2019,IN,Kolkata,co,96,1.6,41.3,12,835.85
21-01-2019,IN,Kolkata,co,96,2.2,63.4,16.5,2165.88
22-01-2019,IN,Kolkata,co,96,1.9,68.4,18.2,2868.33
23-01-2019,IN,Kolkata,co,90,0.2,72.8,19.6,3023.22
24-01-2019,IN,Kolkata,co,95,0.5,34.7,12.9,733.26
25-01-2019,IN,Kolkata,co,96,1.9,33.9,8.7,591.73
26-01-2019,IN,Kolkata,co,96,0.8,18.6,6.8,137.03
27-01-2019,IN,Kolkata,co,96,1.6,17.9,6.4,143.59
28-01-2019,IN,Kolkata,co,96,0.2,19,5.3,159.27
29-01-2019,IN,Kolkata,co,94,0.5,33.2,4.7,484.28
30-01-2019,IN,Kolkata,co,96,0.3,38.3,4.3,494.64
31-01-2019,IN,Kolkata,co,95,0.7,44.6,7.7,913.04
01-02-2019,IN,Kolkata,co,96,2.2,45.4,10.6,655.05
02-02-2019,IN,Kolkata,co,96,0.6,49.4,11.1,1945.75
03-02-2019,IN,Kolkata,co,95,0.1,51.4,10.5,1401.62
04-02-2019,IN,Kolkata,co,96,0.2,41.6,13,990.72
05-02-2019,IN,Kolkata,co,95,0.5,43.3,11.7,1024.22
06-02-2019,IN,Kolkata,co,96,2.7,50.2,14,1250.6
07-02-2019,IN,Kolkata,co,96,0.1,44.5,13.5,836.76
08-02-2019,IN,Kolkata,co,96,0.6,25.9,9.3,204.28
09-02-2019,IN,Kolkata,co,96,1.9,13.5,5.9,44.95
10-02-2019,IN,Kolkata,co,96,1.7,15,4.5,53
11-02-2019,IN,Kolkata,co,96,1.9,21.1,6.8,198.99
12-02-2019,IN,Kolkata,co,96,2.9,25.5,8,298.3
13-02-2019,IN,Kolkata,co,96,0.9,45.8,8.7,816.73
14-02-2019,IN,Kolkata,co,95,0.1,53.6,9.9,1920.4
15-02-2019,IN,Kolkata,co,95,1.4,39.1,11.3,873.81
16-02-2019,IN,Kolkata,co,96,1.4,28.9,7.2,365.11
17-02-2019,IN,Kolkata,co,96,1.8,19.2,6.3,117.23
18-02-2019,IN,Kolkata,co,96,1.4,27.9,6.6,327.79
19-02-2019,IN,Kolkata,co,96,0.2,29.4,7.3,370.05
20-02-2019,IN,Kolkata,co,96,1.3,25.5,5.8,220.4
21-02-2019,IN,Kolkata,co,96,0.5,23.7,10.2,244.06
22-02-2019,IN,Kolkata,co,96,0.2,19.8,6.1,92.47
23-02-2019,IN,Kolkata,co,96,2.9,35.9,7.1,427.72
24-02-2019,IN,Kolkata,co,96,0.6,30.3,4.6,370.81
