Date,Country,City,Specie,count,min,max,median,variance
31-12-2018,IN,Kolkata,no2,94,2.6,101.7,31.1,6848.37
01-01-2019,IN,Kolkata,no2,96,4.7,95.7,41.7,5934.25
02-01-2019,IN,Kolkata,no2,95,7.7,91.3,43.3,5038.25
03-01-2019,IN,Kolkata,no2,96,5.7,105.8,53.5,8574.75
04-01-2019,IN,Kolkata,no2,93,0.6,114.1,56,8522.48
05-01-2019,IN,Kolkata,no2,95,5.5,120.2,43.9,8248.65
06-01-2019,IN,Kolkata,no2,96,7.1,108.9,38.7,7137.29
07-01-2019,IN,Kolkata,no2,91,8.1,104.1,44.3,6929.86
08-01-2019,IN,Kolkata,no2,96,0.9,103.6,31.1,5126.07
09-01-2019,IN,Kolkata,no2,93,3.2,93.4,26.9,4719.71
10-01-2019,IN,Kolkata,no2,96,3.6,100.4,31.6,5038.61
11-01-2019,IN,Kolkata,no2,95,6.4,102.7,30.1,5225.34
12-01-2019,IN,Kolkata,no2,96,0.6,97.1,30.4,5494.55
13-01-2019,IN,Kolkata,no2,96,0.1,100.7,29.3,4651.94
14-01-2019,IN,Kolkata,no2,94,3.2,107.1,45.7,6727.33
15-01-2019,IN,Kolkata,no2,94,6.6,97.1,37.4,4874.78
16-01-2019,IN,Kolkata,no2,94,1.2,102.6,30.1,6262.4
17-01-2019,IN,Kolkata,no2,92,0.4,106.5,34,7418.94
18-01-2019,IN,Kolkata,no2,94,0.1,111.6,36.8,7615.73
19-01-2019,IN,Kolkata,no2,92,0.1,104.3,35.6,8465.82
20-01-2019,IN,Kolkata,no2,92,6.4,102,33,6904.83
21-01-2019,IN,Kolkata,no2,88,1.3,104.1,34.7,7316.57
22-01-2019,IN,Kolkata,no2,88,7,111.3,46.4,9185.37
23-01-2019,IN,Kolkata,no2,91,3.4,105.1,30.8,8617.38
24-01-2019,IN,Kolkata,no2,92,1.8,102.3,40.6,7075.89
25-01-2019,IN,Kolkata,no2,94,8.7,104.3,43.2,5249.93
26-01-2019,IN,Kolkata,no2,96,8.5,76.7,32.1,2761.54
27-01-2019,IN,Kolkata,no2,96,8.2,78.9,34.5,2899.18
28-01-2019,IN,Kolkata,no2,93,7.9,68.1,26.1,2677.34
29-01-2019,IN,Kolkata,no2,96,7.6,84.4,27.5,4172.83
30-01-2019,IN,Kolkata,no2,96,8,90.5,36.4,4327.33
31-01-2019,IN,Kolkata,no2,93,6.6,103.6,41.2,5412.92
01-02-2019,IN,Kolkata,no2,95,8.7,95.7,43.1,4120.17
02-02-2019,IN,Kolkata,no2,94,0.3,103.1,42.7,7588.39
03-02-2019,IN,Kolkata,no2,96,0.5,101.6,39.4,5975.97
04-02-2019,IN,Kolkata,no2,95,5.6,101.8,49.4,6879.29
05-02-2019,IN,Kolkata,no2,96,7.3,102.3,39.3,6471.94
06-02-2019,IN,Kolkata,no2,95,8,103.5,42.7,7820.28
07-02-2019,IN,Kolkata,no2,96,9.5,103.2,50.4,8343.41
08-02-2019,IN,Kolkata,no2,95,8.9,97.4,35.9,4898.42
09-02-2019,IN,Kolkata,no2,96,9.6,55.4,19.6,620.36
10-02-2019,IN,Kolkata,no2,96,7.3,74.5,21.5,1879.35
11-02-2019,IN,Kolkata,no2,93,8.6,96.2,30,3574.27
12-02-2019,IN,Kolkata,no2,96,8.1,101.7,38.9,6002.43
13-02-2019,IN,Kolkata,no2,96,8,103.3,42.5,6816.16
14-02-2019,IN,Kolkata,no2,95,10.7,105.6,55.9,9233.5
15-02-2019,IN,Kolkata,no2,95,9.6,104.2,54,7738.9
16-02-2019,IN,Kolkata,no2,96,13.3,100.9,35.9,5972.03
17-02-2019,IN,Kolkata,no2,96,13,89.4,27.6,3706.58
18-02-2019,IN,Kolkata,no2,95,11.4,102.5,31.7,6512.02
19-02-2019,IN,Kolkata,no2,94,10.2,101.1,39.2,7049.42
20-02-2019,IN,Kolkata,no2,94,8.4,88.1,19.5,4418.65
21-02-2019,IN,Kolkata,no2,96,7.4,100.9,35.2,5619.4
22-02-2019,IN,Kolkata,no2,95,7.8,106.9,24.3,3005.45
23-02-2019,IN,Kolkata,no2,96,6.3,102.4,26.9,5857.4
24-02-2019,IN,Kolkata,no2,96,8.4,100.4,25.6,3119.9
25-02-2019,IN,Kolkata,no2,94,8.5,70,25.8,1954.67
26-02-2019,IN,Kolkata,no2,93,9.6,40.4,20.1,483.58
27-02-2019,IN,Kolkata,no2,96,6.6,51.5,17.3,802.78
28-02-2019,IN,Kolkata,no2,95,7.3,53.1,19,1379.5
01-03-2019,IN,Kolkata,no2,95,7.9,84.6,20.3,3235.03
02-03-2019,IN,Kolkata,no2,94,7,94.9,23.6,4205.19
03-03-2019,IN,Kolkata,no2,96,5.1,102,32.4,7440.31
04-03-2019,IN,Kolkata,no2,95,8.3,101.1,25.1,2109.3
05-03-2019,IN,Kolkata,no2,96,6.4,58.6,17.8,1340.86
06-03-2019,IN,Kolkata,no2,95,1.5,63.2,20,1422.49
07-03-2019,IN,Kolkata,no2,95,9.8,73.5,28.2,2259.48
08-03-2019,IN,Kolkata,no2,85,8.3,105.2,34.7,5713.94
09-03-2019,IN,Kolkata,no2,72,9,102.1,28.5,5381.64
10-03-2019,IN,Kolkata,no2,95,6.8,99.3,14.4,1421.45
11-03-2019,IN,Kolkata,no2,94,7.6,73.2,16.5,1982.28
12-03-2019,IN,Kolkata,no2,95,7.3,51.9,22.2,1216.27
13-03-2019,IN,Kolkata,no2,95,6.5,83.6,15.8,1764.99
14-03-2019,IN,Kolkata,no2,96,6.8,69.5,19.1,1617.19
15-03-2019,IN,Kolkata,no2,93,8.6,85.9,27.7,3029.8
16-03-2019,IN,Kolkata,no2,81,6.6,103.2,25.4,4187.29
17-03-2019,IN,Kolkata,no2,96,8,74.8,18.5,943.23
18-03-2019,IN,Kolkata,no2,96,6.9,101,25.8,4030.71
19-03-2019,IN,Kolkata,no2,96,5.9,82.6,19.6,2008.19
20-03-2019,IN,Kolkata,no2,96,7.6,101,20.4,2741.72
21-03-2019,IN,Kolkata,no2,96,5.4,49.2,10,483.3
22-03-2019,IN,Kolkata,no2,88,5.5,49,11.9,875.79
23-03-2019,IN,Kolkata,no2,72,5.1,107.9,23.6,8258.33
24-03-2019,IN,Kolkata,no2,72,12.1,103.6,32.9,6635.77
25-03-2019,IN,Kolkata,no2,70,12.2,105,38.4,8174.09
26-03-2019,IN,Kolkata,no2,72,8.4,100.9,18.1,1601.15
27-03-2019,IN,Kolkata,no2,71,12.6,83.9,25.2,2552.53
28-03-2019,IN,Kolkata,no2,84,5.5,64.1,16.1,1287.93
29-03-2019,IN,Kolkata,no2,96,7.2,44.3,13.8,370.28
30-03-2019,IN,Kolkata,no2,93,5.9,29.1,12.7,343.6
31-03-2019,IN,Kolkata,no2,92,5.4,25.1,8.7,173.94
01-04-2019,IN,Kolkata,no2,96,4,85.3,9.1,764.63
02-04-2019,IN,Kolkata,no2,96,6,33.7,11.1,364.87
03-04-2019,IN,Kolkata,no2,93,5.4,23.5,9.9,146.42
04-04-2019,IN,Kolkata,no2,94,4.4,19.8,9.3,144.58
05-04-2019,IN,Kolkata,no2,95,4.1,37.3,8.5,372.3
06-04-2019,IN,Kolkata,no2,96,3.9,58.8,14.2,1488.89
07-04-2019,IN,Kolkata,no2,96,5.1,39.4,14.1,462.46
08-04-2019,IN,Kolkata,no2,94,4.2,46.8,14.4,1051.77
09-04-2019,IN,Kolkata,no2,92,3.9,57.3,13.6,1361.98
10-04-2019,IN,Kolkata,no2,95,4.4,50.7,16.3,1184.57
11-04-2019,IN,Kolkata,no2,90,4.4,23.5,9.8,236.5
12-04-2019,IN,Kolkata,no2,82,4.9,31,11.2,307.62
13-04-2019,IN,Kolkata,no2,96,4.8,22.5,11.4,232.2
15-04-2019,IN,Kolkata,no2,95,4.3,37,8.3,331.43
16-04-2019,IN,Kolkata,no2,87,4.2,24.6,8,260.37
17-04-2019,IN,Kolkata,no2,77,3.8,74.2,13.8,2023.5
18-04-2019,IN,Kolkata,no2,96,3.7,97.3,17.2,3848.41
19-04-2019,IN,Kolkata,no2,84,3.9,70.2,18.7,2833.35
20-04-2019,IN,Kolkata,no2,96,3.4,56.9,15.8,1263.87
21-04-2019,IN,Kolkata,no2,96,3.3,54.7,8.3,708.57
22-04-2019,IN,Kolkata,no2,92,1.4,45.8,15.9,1151.51
23-04-2019,IN,Kolkata,no2,96,3.6,50,12.9,929.76
24-04-2019,IN,Kolkata,no2,93,2.4,34.3,13.3,606.15
25-04-2019,IN,Kolkata,no2,96,3.6,29.9,11,371.04
26-04-2019,IN,Kolkata,no2,90,4,37,11.2,393.09
27-04-2019,IN,Kolkata,no2,68,4.6,23.3,10.1,249.3
28-04-2019,IN,Kolkata,no2,89,3.5,17.7,8.3,81.87
29-04-2019,IN,Kolkata,no2,86,0.7,16.1,7.8,82.85
30-04-2019,IN,Kolkata,no2,84,3.5,72.1,9.2,690.78
01-05-2019,IN,Kolkata,no2,72,4.7,20.4,8.3,76.21
02-05-2019,IN,Kolkata,no2,72,5.4,16.8,9.4,95.09
03-05-2019,IN,Kolkata,no2,72,4.5,22.5,9.2,169.06
04-05-2019,IN,Kolkata,no2,71,2.7,62.8,7.1,1741.99
05-05-2019,IN,Kolkata,no2,61,0.1,44.4,12.5,1281.11
06-05-2019,IN,Kolkata,no2,69,0.1,17.1,5.8,203.04
07-05-2019,IN,Kolkata,no2,72,1.8,20.8,7.9,345.26
08-05-2019,IN,Kolkata,no2,72,1.8,32.8,9,735.93
09-05-2019,IN,Kolkata,no2,71,1.8,24.8,8.2,419.02
10-05-2019,IN,Kolkata,no2,72,1.4,22.4,7.1,293.75
11-05-2019,IN,Kolkata,no2,72,1.3,21.1,7,264.01
12-05-2019,IN,Kolkata,no2,72,1.1,15.1,5.5,172.66
13-05-2019,IN,Kolkata,no2,72,1.1,16.9,6.3,156.35
14-05-2019,IN,Kolkata,no2,94,2,31.7,9.7,416.18
15-05-2019,IN,Kolkata,no2,96,1.6,39,10.5,653.96
16-05-2019,IN,Kolkata,no2,96,1.8,30.7,10.6,480.18
17-05-2019,IN,Kolkata,no2,96,1.2,19.4,9.3,244.77
18-05-2019,IN,Kolkata,no2,96,0.8,14.6,7.3,117.28
19-05-2019,IN,Kolkata,no2,96,0.9,20.4,6.5,173.98
20-05-2019,IN,Kolkata,no2,95,0.8,19.4,6.7,230.57
21-05-2019,IN,Kolkata,no2,96,1.5,16,7.6,167.47
22-05-2019,IN,Kolkata,no2,95,1.3,14.8,7.1,151.48
23-05-2019,IN,Kolkata,no2,96,1.3,12.9,5.7,93.45
24-05-2019,IN,Kolkata,no2,96,0.8,29.7,7.3,262.3
25-05-2019,IN,Kolkata,no2,96,1.3,30.8,7.8,314.8
26-05-2019,IN,Kolkata,no2,81,3.2,38.2,9.7,456.19
27-05-2019,IN,Kolkata,no2,72,4.8,17.1,8.9,54.47
28-05-2019,IN,Kolkata,no2,67,4.4,16.4,8.8,53.89
29-05-2019,IN,Kolkata,no2,72,3.8,17,7.1,69.32
30-05-2019,IN,Kolkata,no2,72,4.5,17.1,7.9,48.25
31-05-2019,IN,Kolkata,no2,72,2.8,14.8,7.1,51.23
01-06-2019,IN,Kolkata,no2,72,3.9,22.2,9.8,153.08
02-06-2019,IN,Kolkata,no2,72,4.2,21.9,7.6,106.35
03-06-2019,IN,Kolkata,no2,95,2.7,33.8,8.5,630.18
04-06-2019,IN,Kolkata,no2,96,2.2,19.6,7.6,257.81
05-06-2019,IN,Kolkata,no2,93,1.3,41.8,8.1,683.53
