Date,Country,City,Specie,count,min,max,median,variance
31-12-2018,IN,Kolkata,o3,96,0.4,46.7,8.8,1983.54
01-01-2019,IN,Kolkata,o3,96,0.3,45.7,2.5,2000.66
02-01-2019,IN,Kolkata,o3,96,0.2,47.1,2.6,1999.65
03-01-2019,IN,Kolkata,o3,96,0.2,67.5,2.3,3003.83
04-01-2019,IN,Kolkata,o3,93,0.1,59.6,4,2770.86
05-01-2019,IN,Kolkata,o3,96,0.1,38.9,2.7,1406.7
06-01-2019,IN,Kolkata,o3,96,0.1,41.4,2.9,1509.84
07-01-2019,IN,Kolkata,o3,96,0.1,44.2,2.3,1632.02
08-01-2019,IN,Kolkata,o3,96,0.8,44.9,2.5,1694.23
09-01-2019,IN,Kolkata,o3,96,0.8,54.6,2.5,2213.7
10-01-2019,IN,Kolkata,o3,96,0.9,62.3,2.9,3115.32
11-01-2019,IN,Kolkata,o3,96,1,54.9,5.1,2718.01
12-01-2019,IN,Kolkata,o3,96,1,45.2,2.7,1882.03
13-01-2019,IN,Kolkata,o3,96,1,49.1,2.9,2066.12
14-01-2019,IN,Kolkata,o3,96,1,54.6,2.4,2114.89
15-01-2019,IN,Kolkata,o3,96,0.4,44.9,4,1749.92
16-01-2019,IN,Kolkata,o3,96,0.3,54.4,7,2294.44
17-01-2019,IN,Kolkata,o3,96,0.1,59.6,2.6,2445.4
18-01-2019,IN,Kolkata,o3,96,0.1,57.5,3.8,2256.05
19-01-2019,IN,Kolkata,o3,96,0.1,63.5,2.3,2416.6
20-01-2019,IN,Kolkata,o3,96,0.1,49.3,2.3,1945.4
21-01-2019,IN,Kolkata,o3,96,0.1,59,2.2,2204.98
22-01-2019,IN,Kolkata,o3,96,0.1,69.7,2.2,2203.47
23-01-2019,IN,Kolkata,o3,96,0.9,49.1,2.2,1939.05
24-01-2019,IN,Kolkata,o3,96,0.8,56.1,2.6,1907.27
25-01-2019,IN,Kolkata,o3,96,0.8,52.1,3.4,1521.68
26-01-2019,IN,Kolkata,o3,96,0.9,48.8,7.5,1172.08
27-01-2019,IN,Kolkata,o3,96,1,37.2,4.5,844.89
28-01-2019,IN,Kolkata,o3,96,1.1,32,6.9,551.57
29-01-2019,IN,Kolkata,o3,96,1.3,42.5,7,1183.73
30-01-2019,IN,Kolkata,o3,96,1.2,43.5,5.7,1314.45
31-01-2019,IN,Kolkata,o3,95,0.9,46.7,4.4,1567.7
01-02-2019,IN,Kolkata,o3,95,1.1,53.3,3,1761.03
02-02-2019,IN,Kolkata,o3,96,0.9,55.7,2.3,1845.46
03-02-2019,IN,Kolkata,o3,96,0.9,54.2,2.5,1887.66
04-02-2019,IN,Kolkata,o3,96,0.4,53.1,2,1726.54
05-02-2019,IN,Kolkata,o3,96,0.2,53.2,2.9,1796.73
06-02-2019,IN,Kolkata,o3,95,1,49,3,1670.31
07-02-2019,IN,Kolkata,o3,96,1.1,48.3,5.3,1966.97
08-02-2019,IN,Kolkata,o3,96,1,45.3,16,1830.07
09-02-2019,IN,Kolkata,o3,96,10.6,35,17,296.56
10-02-2019,IN,Kolkata,o3,96,1.6,42.3,12.6,1118.01
11-02-2019,IN,Kolkata,o3,95,1.2,43,12.2,1406.92
12-02-2019,IN,Kolkata,o3,96,1.1,46.5,6.4,1750.24
13-02-2019,IN,Kolkata,o3,96,1.3,47.7,5.7,1932.04
14-02-2019,IN,Kolkata,o3,96,1.1,48.7,4.3,2050.62
15-02-2019,IN,Kolkata,o3,96,1,52.8,6,2365.31
16-02-2019,IN,Kolkata,o3,96,1.3,31.4,8.7,546.86
17-02-2019,IN,Kolkata,o3,96,1.4,41.4,9,1279.37
18-02-2019,IN,Kolkata,o3,89,1.2,48.7,10.3,1705.28
19-02-2019,IN,Kolkata,o3,85,1,45.8,11.9,1754.73
