Date,Country,City,Specie,count,min,max,median,variance
23-03-2019,IN,Kolkata,so2,72,0.4,54,6.3,1162.59
25-01-2019,IN,Kolkata,so2,96,0.8,32.4,6.7,462.23
29-01-2019,IN,Kolkata,so2,96,2.7,45.9,5.8,672.56
24-02-2019,IN,Kolkata,so2,96,1.7,35.9,8.3,470.15
02-02-2019,IN,Kolkata,so2,96,1.6,58.6,9.3,1835.33
04-02-2019,IN,Kolkata,so2,92,1.7,55.9,7.5,1504.06
17-02-2019,IN,Kolkata,so2,96,2.7,52.2,6.4,1024.34
07-01-2019,IN,Kolkata,so2,96,1,56.1,8.4,2085.89
13-01-2019,IN,Kolkata,so2,96,1.6,56.5,7.2,1380.15
15-01-2019,IN,Kolkata,so2,96,2.5,45,8.7,700.42
08-02-2019,IN,Kolkata,so2,96,1.3,37.7,9.3,393.41
14-02-2019,IN,Kolkata,so2,96,2.5,61.6,11.8,2463.41
19-02-2019,IN,Kolkata,so2,96,1.3,55.5,8.9,1019.66
05-03-2019,IN,Kolkata,so2,96,0.5,15.9,3.5,151.9
07-03-2019,IN,Kolkata,so2,96,1.4,30.9,7.5,523.76
03-01-2019,IN,Kolkata,so2,93,1.3,62.5,14,2427.87
06-01-2019,IN,Kolkata,so2,93,2.1,58.5,6.6,1100.36
03-02-2019,IN,Kolkata,so2,96,0.8,51,8.8,844.22
28-03-2019,IN,Kolkata,so2,84,0.7,21.3,4,206.86
15-02-2019,IN,Kolkata,so2,96,2.7,57.5,12.6,1291.6
15-03-2019,IN,Kolkata,so2,92,1.1,61.3,6.3,1494.69
01-01-2019,IN,Kolkata,so2,96,2,59,7.2,2361.69
06-02-2019,IN,Kolkata,so2,96,1.7,51.7,11.3,1576.2
09-02-2019,IN,Kolkata,so2,96,2,37.2,6,380.57
13-02-2019,IN,Kolkata,so2,95,3,56.9,9.9,1769.12
03-03-2019,IN,Kolkata,so2,96,1.9,63,7.7,1517.98
29-03-2019,IN,Kolkata,so2,96,0.5,23.9,3.2,298.24
14-01-2019,IN,Kolkata,so2,95,2.1,58.7,16.4,2918.99
26-01-2019,IN,Kolkata,so2,96,1.6,48.7,6.8,323.94
12-02-2019,IN,Kolkata,so2,96,1.8,44.2,7.6,744.47
01-03-2019,IN,Kolkata,so2,96,0.9,53.2,4.8,822.15
04-03-2019,IN,Kolkata,so2,96,1.2,31.9,5.2,253.1
10-03-2019,IN,Kolkata,so2,95,0.8,21.5,4.7,155
24-03-2019,IN,Kolkata,so2,71,2.6,58.6,8,1784.13
17-01-2019,IN,Kolkata,so2,92,1.3,59.9,11.9,2418
16-02-2019,IN,Kolkata,so2,95,3,54.1,9.2,1531.04
27-02-2019,IN,Kolkata,so2,95,0.3,13.6,1.8,103.66
11-03-2019,IN,Kolkata,so2,96,0.6,32.2,3.5,403.03
17-03-2019,IN,Kolkata,so2,96,0.7,32.9,5.9,347.77
22-03-2019,IN,Kolkata,so2,89,1,23.1,4.1,207.65
12-01-2019,IN,Kolkata,so2,96,2.3,58.4,8.8,1711.93
05-02-2019,IN,Kolkata,so2,96,1.8,58.6,9,1626.31
23-02-2019,IN,Kolkata,so2,96,2.2,58.3,8.3,1023.74
28-02-2019,IN,Kolkata,so2,96,0.4,35.4,2.8,389.48
06-03-2019,IN,Kolkata,so2,95,1,20.5,5.4,232.7
19-03-2019,IN,Kolkata,so2,96,1.4,43.4,8.8,829.45
26-03-2019,IN,Kolkata,so2,72,1.4,26.2,4.5,248.4
31-12-2018,IN,Kolkata,so2,96,3.3,63,7,1730.28
11-01-2019,IN,Kolkata,so2,96,0.9,64,6.8,2250.36
07-02-2019,IN,Kolkata,so2,96,2,44.1,12.9,727.73
08-01-2019,IN,Kolkata,so2,96,1.3,53.5,8.5,1692.17
10-02-2019,IN,Kolkata,so2,96,2.3,21.5,4.9,183.06
16-03-2019,IN,Kolkata,so2,81,1.7,47.6,7,757.77
18-03-2019,IN,Kolkata,so2,96,0.6,54.2,5.9,874.96
04-01-2019,IN,Kolkata,so2,96,1.5,48.7,7.1,1055.64
20-01-2019,IN,Kolkata,so2,96,1.8,57.8,6.6,1495.3
23-01-2019,IN,Kolkata,so2,96,1.2,53.5,6.2,843.67
26-02-2019,IN,Kolkata,so2,93,0.7,18.7,2.7,138.71
08-03-2019,IN,Kolkata,so2,85,2.3,47.6,6.1,861.33
13-03-2019,IN,Kolkata,so2,96,1.3,33.9,7.2,423.77
21-03-2019,IN,Kolkata,so2,96,1.3,13.6,5.3,101.93
25-03-2019,IN,Kolkata,so2,72,2,38.8,8.4,794.9
05-01-2019,IN,Kolkata,so2,96,1.4,59.5,7.7,1553.22
28-01-2019,IN,Kolkata,so2,96,2.8,48.6,7.2,806.29
11-02-2019,IN,Kolkata,so2,96,1.6,56.3,6.7,797.69
24-01-2019,IN,Kolkata,so2,96,0.9,54,7.5,1545.5
27-01-2019,IN,Kolkata,so2,96,2.4,50.2,8.2,1123.81
20-02-2019,IN,Kolkata,so2,95,1.7,32.9,7.5,429.97
22-02-2019,IN,Kolkata,so2,96,1.5,39,12.8,1113.24
20-03-2019,IN,Kolkata,so2,95,1,44.4,7.4,642.99
09-01-2019,IN,Kolkata,so2,95,2,58.2,8.2,2542.84
16-01-2019,IN,Kolkata,so2,96,1.6,59.6,9.1,2684.11
18-01-2019,IN,Kolkata,so2,96,1.1,64.5,10.6,2047.47
25-02-2019,IN,Kolkata,so2,95,0.9,18.4,4.7,207.36
02-03-2019,IN,Kolkata,so2,96,1.3,28.6,4.7,324.28
21-01-2019,IN,Kolkata,so2,96,1.2,58.7,9.3,2001.42
22-01-2019,IN,Kolkata,so2,96,2,62,11.3,1230.52
30-01-2019,IN,Kolkata,so2,95,2.5,61.2,8.2,965.01
18-02-2019,IN,Kolkata,so2,95,2,31,8.1,323.29
27-03-2019,IN,Kolkata,so2,72,1.8,41.1,13,854.9
30-03-2019,IN,Kolkata,so2,95,0.4,30.1,2.6,271.96
31-03-2019,IN,Kolkata,so2,92,0.2,28.7,1,320.67
02-01-2019,IN,Kolkata,so2,94,1.3,59.9,7.3,2580.05
19-01-2019,IN,Kolkata,so2,95,1.4,62.3,10,2338.4
31-01-2019,IN,Kolkata,so2,95,2.7,54.5,8.5,1508.13
09-03-2019,IN,Kolkata,so2,72,1.9,60.5,8.3,1693.68
12-03-2019,IN,Kolkata,so2,95,2,41.9,10.4,730.34
14-03-2019,IN,Kolkata,so2,96,0.7,26.5,8.3,416.34
10-01-2019,IN,Kolkata,so2,96,2.4,59.2,9.1,1119.63
01-02-2019,IN,Kolkata,so2,93,2.3,60.6,7.3,1553.07
21-02-2019,IN,Kolkata,so2,96,1.4,57.2,9,1274.14
21-04-2019,IN,Kolkata,so2,96,0.6,18.2,2.7,145.97
23-04-2019,IN,Kolkata,so2,96,0.6,26.4,4.5,256.47
01-05-2019,IN,Kolkata,so2,72,0.2,31.9,0.9,571.21
15-06-2019,IN,Kolkata,so2,67,0.1,1.5,0.8,1.29
23-06-2019,IN,Kolkata,so2,92,0.1,1.6,0.8,1.41
24-06-2019,IN,Kolkata,so2,86,0.1,62.7,0.7,782.89
29-06-2019,IN,Kolkata,so2,91,0.1,6.8,1.4,11.23
06-04-2019,IN,Kolkata,so2,96,0.6,55.7,5.2,858
22-04-2019,IN,Kolkata,so2,95,0.7,21.2,5.7,207.65
28-04-2019,IN,Kolkata,so2,96,0.2,21.2,1.2,159.27
02-06-2019,IN,Kolkata,so2,72,0.3,16.7,1,48.4
05-06-2019,IN,Kolkata,so2,96,0.1,4.2,1,6.49
13-06-2019,IN,Kolkata,so2,96,0.1,3.3,1.1,6.36
26-06-2019,IN,Kolkata,so2,88,0.1,14.7,1.2,108.71
04-05-2019,IN,Kolkata,so2,72,0.2,29,1.1,192.27
08-05-2019,IN,Kolkata,so2,72,0.1,20.7,0.6,258.52
13-05-2019,IN,Kolkata,so2,72,0.1,24.7,0.6,275.63
16-05-2019,IN,Kolkata,so2,96,0.3,36.5,1,466.45
08-06-2019,IN,Kolkata,so2,96,0.1,1.6,0.6,2.29
25-06-2019,IN,Kolkata,so2,87,0.1,12.7,0.9,40.14
16-04-2019,IN,Kolkata,so2,87,0.1,14,2.3,121.5
02-05-2019,IN,Kolkata,so2,72,0.1,4.7,1,8.92
12-05-2019,IN,Kolkata,so2,72,0.1,12.7,0.6,96.89
14-05-2019,IN,Kolkata,so2,93,0.3,15,0.9,90.79
09-06-2019,IN,Kolkata,so2,96,0.1,3.6,0.4,4.48
12-06-2019,IN,Kolkata,so2,96,0.1,1.4,0.6,2.69
20-06-2019,IN,Kolkata,so2,84,0.1,1.7,0.7,1.62
30-06-2019,IN,Kolkata,so2,88,0.1,18.1,1.6,105.62
09-04-2019,IN,Kolkata,so2,92,0.6,22,3.9,257.81
18-04-2019,IN,Kolkata,so2,95,2.1,52.8,9.6,1233.97
24-04-2019,IN,Kolkata,so2,96,0.3,29.7,3.4,222.23
25-04-2019,IN,Kolkata,so2,96,0.6,35.4,1.9,290.8
29-04-2019,IN,Kolkata,so2,94,0.2,30.3,1.2,460.63
17-06-2019,IN,Kolkata,so2,95,0.2,12,1.1,108.94
02-04-2019,IN,Kolkata,so2,96,0.1,34.5,1.1,538.23
20-04-2019,IN,Kolkata,so2,96,2.7,37.5,9.1,783.98
23-05-2019,IN,Kolkata,so2,96,0.2,24.2,1.2,207.49
25-05-2019,IN,Kolkata,so2,96,0.2,18.3,1.2,78.7
14-06-2019,IN,Kolkata,so2,90,0.1,2.4,1,2.3
06-05-2019,IN,Kolkata,so2,72,0.1,19.3,0.7,98.12
18-05-2019,IN,Kolkata,so2,96,0.1,13,0.6,83.86
19-05-2019,IN,Kolkata,so2,96,0.2,16,0.9,62.78
20-05-2019,IN,Kolkata,so2,94,0.2,34.6,0.8,211.15
21-05-2019,IN,Kolkata,so2,96,0.2,24.2,1,324.49
31-05-2019,IN,Kolkata,so2,72,0.3,16.7,0.8,126.25
01-06-2019,IN,Kolkata,so2,72,0.4,23.1,1.3,283.32
22-06-2019,IN,Kolkata,so2,94,0.1,1.6,0.7,1.54
19-04-2019,IN,Kolkata,so2,83,3.6,55.9,8.2,1308.18
26-04-2019,IN,Kolkata,so2,91,0.2,27.7,1.5,251.34
30-04-2019,IN,Kolkata,so2,84,0.2,40.1,1.5,745.07
11-05-2019,IN,Kolkata,so2,72,0.2,9.9,0.7,60.28
01-04-2019,IN,Kolkata,so2,95,0.2,5,1.2,7.42
04-04-2019,IN,Kolkata,so2,94,0.1,23.7,1.1,370.27
08-04-2019,IN,Kolkata,so2,95,0.4,57.4,6.4,868.15
05-05-2019,IN,Kolkata,so2,72,0.2,42.3,1.6,574.07
07-05-2019,IN,Kolkata,so2,72,0.1,27,0.6,449.32
19-06-2019,IN,Kolkata,so2,68,0.1,2,0.7,2.13
06-06-2019,IN,Kolkata,so2,96,0.1,3.5,0.9,3.41
10-06-2019,IN,Kolkata,so2,96,0.1,1.7,0.5,2.64
10-05-2019,IN,Kolkata,so2,72,0.1,9.3,0.6,43.3
11-06-2019,IN,Kolkata,so2,96,0.1,1.4,0.8,2.13
22-05-2019,IN,Kolkata,so2,96,0.2,33,1.2,363.3
